words,count
the,28700
of,20659
or,17305
to,14287
any,13098
and,11773
in,9591
such,9003
a,7565
shall,4420
by,4349
be,4266
as,4079
other,3873
that,3806
with,3732
agent,3364
section,3352
lender,3321
for,2951
loan,2901
borrower,2715
is,2675
administrative,2521
on,2494
not,2406
each,2211
date,2044
this,2033
agreement,1997
term,1930
its,1930
applicable,1897
respect,1846
under,1729
credit,1720
an,1654
amount,1607
b,1597
all,1574
time,1534
loans,1530
which,1484
party,1473
s,1319
if,1310
subsidiary,1300
at,1287
have,1268
may,1266
i,1256
from,1222
person,1210
interest,1209
than,1206
lenders,1204
revolving,1175
c,1135
provided,1123
case,1106
including,1092
means,1088
ii,1087
pursuant,1081
obligations,1052
business,1012
indebtedness,995
it,988
bank,981
thereof,971
has,948
rate,940
required,928
restricted,897
no,889
are,885
made,844
payment,838
company,820
effect,786
period,780
subsidiaries,775
benchmark,772
facility,737
extent,733
permitted,724
otherwise,708
day,704
event,699
after,671
documents,647
will,639
hereunder,628
borrowing,626
subject,626
issuing,618
document,611
financial,609
incremental,608
connection,605
commitments,601
replacement,598
notice,595
letter,585
parties,573
sofr,571
been,570
terms,567
cash,565
holdings,550
commitment,549
accordance,530
law,527
material,522
then,511
default,501
prior,500
reasonably,500
set,497
upon,494
consolidated,489
closing,486
amendment,485
iii,481
without,481
would,476
aggregate,475
forth,473
similar,463
clause,457
so,452
assignment,449
relevant,447
assets,445
thereto,440
except,440
collateral,433
consent,429
principal,429
d,421
debt,421
rights,420
their,415
property,412
into,406
deemed,403
information,402
whether,401
payments,397
meaning,396
parent,393
lien,390
outstanding,385
class,381
form,379
being,379
net,379
days,377
one,376
obligation,375
fees,375
request,369
determined,368
non,366
taxes,364
make,359
received,358
amounts,355
payable,353
proceeds,351
effective,346
e,344
result,344
purposes,343
related,340
available,340
swingline,337
l,335
liability,332
specified,332
herein,330
capital,330
incurred,327
more,324
authority,324
plan,323
account,323
investment,323
assigned,319
transaction,318
transactions,312
security,312
due,309
equity,307
u,303
mean,303
hereby,300
interests,300
basis,299
secured,299
acquisition,298
provisions,298
adjusted,294
portion,294
currency,293
fiscal,293
foregoing,292
x,289
liens,288
action,288
extension,284
right,281
giving,281
but,280
within,280
maturity,279
hereto,276
first,275
expenses,275
statements,274
definition,274
paid,271
determination,270
tax,269
securities,268
new,268
termination,267
defaulting,265
stock,264
erisa,264
letters,263
iv,262
certificate,261
affiliate,260
respective,259
change,258
y,258
ordinary,258
delivered,257
relating,256
laws,254
foreign,254
following,253
jurisdiction,252
act,250
same,249
notwithstanding,249
ratio,249
f,248
unless,248
pay,247
several,245
agrees,245
course,244
federal,243
reasonable,241
written,237
immediately,237
borrowers,235
adverse,232
governmental,231
additional,231
prepayment,229
article,226
issued,225
delayed,225
limited,224
compliance,224
successor,224
good,223
equal,223
refinancing,222
benefit,222
affiliates,220
sale,220
above,217
taken,216
against,215
arising,214
title,211
used,210
reference,210
existing,209
pro,209
purchase,208
insurance,208
requirements,208
defined,207
expected,204
g,204
united,202
total,202
conditions,201
code,200
plus,199
faith,198
agreed,198
full,198
based,197
name,196
year,196
provision,196
long,194
constitute,194
understood,194
exceed,193
out,193
york,192
contrary,190
provide,189
schedule,187
described,187
income,187
asset,186
equivalent,186
draw,186
during,185
failure,184
part,184
promptly,184
guarantor,183
solely,182
entity,182
become,182
agreements,181
last,181
together,180
condition,180
requested,179
institution,179
necessary,178
test,177
base,175
officer,175
occurred,172
state,172
value,172
amended,171
writing,171
approved,171
fee,169
administrator,169
paragraph,169
disqualified,168
therein,167
executed,167
component,167
receipt,166
issuance,166
behalf,166
costs,165
discretion,165
thereunder,164
initial,162
when,161
proceeding,161
exposure,159
funds,159
greater,159
only,158
use,157
charges,157
states,155
anything,155
expressly,155
participation,154
through,153
accrued,153
delivery,153
apply,153
hereof,152
entered,152
less,151
accounting,151
denominated,151
assignee,151
substantially,151
h,151
public,150
contemplated,150
making,150
v,150
percentage,149
p,149
further,148
statement,147
investments,147
was,147
extended,146
directly,146
regulation,146
electronic,146
m,145
increase,143
excluded,143
deliver,143
owned,142
participant,142
waiver,141
financing,140
incurrence,140
do,139
designated,139
market,139
clauses,139
fund,138
conversion,137
becomes,137
include,137
were,136
abr,136
order,136
below,135
lease,135
avoidance,135
doubt,135
instrument,135
claim,135
affected,134
liabilities,134
tenor,134
n,133
disposition,133
sections,133
gaap,133
dollars,132
type,132
documentation,132
agree,131
contract,131
performance,131
adjustment,131
either,130
having,130
expense,130
advance,128
purpose,128
exercise,128
legal,127
leverage,127
indemnified,127
transfer,127
exhibit,126
published,126
later,126
guaranty,125
cause,125
preceding,125
contained,125
among,124
occurrence,124
reserve,124
quarter,124
entitled,124
demand,124
withholding,123
current,123
responsible,123
reliance,123
ebitda,122
until,122
does,121
banks,121
permit,121
imposed,121
judgment,120
ownership,118
nor,118
notices,117
sole,117
election,117
facilities,117
least,116
rata,116
held,116
applied,115
manner,115
resolution,115
application,115
appropriate,115
whole,115
most,115
release,115
continuing,115
rfr,114
comply,114
holding,114
counsel,114
calculation,113
end,113
court,113
excess,113
joint,112
those,112
reduction,112
recipient,112
inc,111
funding,111
accounts,111
management,110
month,110
powers,110
given,110
excluding,109
environmental,109
corporation,108
exchange,108
unrestricted,108
services,107
w,107
representations,105
per,105
persons,105
determining,105
service,105
junior,105
assumption,104
referred,104
j,103
three,103
member,102
money,102
directors,102
representation,102
direct,101
office,101
communications,101
securing,101
board,100
acquired,100
warranty,100
another,99
repayment,99
continue,99
customary,99
intercreditor,99
certain,98
advances,98
commercial,98
resulting,98
between,98
duties,98
k,97
satisfactory,97
indirectly,96
eligible,96
two,96
maintain,96
government,96
owing,96
reserved,96
annum,95
changes,95
vi,95
charge,95
participations,95
register,95
consideration,94
compensation,94
deposit,94
limitation,93
thereon,93
lc,93
note,92
requirement,92
forma,92
signature,92
execution,92
actual,92
receivables,92
dated,91
sum,91
control,91
alternate,91
regulatory,91
operations,91
pension,91
instruments,91
take,91
alternative,91
warranties,91
capacity,90
group,90
attributable,90
claims,90
there,90
respects,90
qualified,90
general,90
providing,90
regulations,89
designation,89
materials,89
terminated,89
employees,89
borrowings,89
administration,88
amendments,88
notify,88
require,88
loss,87
eea,86
before,86
final,86
covenant,86
governing,86
hedge,86
lending,85
matters,85
third,85
error,85
thereafter,85
cost,85
actions,84
five,83
arrangement,83
notes,83
agents,82
banking,82
beneficial,82
included,82
replaced,82
guarantee,82
adjustments,81
page,81
calculated,80
damages,80
knowledge,80
own,80
real,79
officers,79
events,79
indemnification,79
could,79
covenants,79
authorized,78
modification,78
agency,78
ended,78
arrangements,78
fixed,78
perfection,78
generally,77
trade,77
us,77
therefor,77
thereby,77
collectively,76
fair,76
fronting,76
arrangers,75
terminate,75
periods,75
losses,75
had,75
exemption,75
copies,75
true,75
daily,75
llc,74
times,74
country,74
debtor,74
binding,74
unpaid,74
organization,74
rent,74
option,73
reimbursement,73
association,72
therewith,72
trust,72
existence,72
taking,71
satisfied,71
dollar,71
derivative,71
where,71
original,71
deposits,71
qfc,71
modified,70
indirect,70
future,70
created,70
construed,70
simple,70
controlled,69
power,69
rules,69
leases,69
vii,69
employee,69
issue,69
increased,69
number,69
acceptance,69
acting,68
platform,68
remedies,68
receivable,68
nature,68
also,68
city,68
neither,68
swap,68
corresponding,67
approval,67
sanctions,67
prohibited,67
individually,67
disbursement,67
properties,66
withheld,66
partnership,66
recently,66
return,66
copy,66
restrictions,66
secure,66
consistent,65
proposed,65
rating,65
ending,65
covered,65
disbursements,65
senior,64
repurchase,64
earlier,64
amend,64
over,64
refinanced,64
converted,63
anti,63
director,63
bail,63
mandatory,63
address,63
obtained,63
extend,62
now,62
waived,62
december,62
insolvency,62
exists,62
price,62
operating,62
absent,62
pledge,62
automatically,62
reason,62
receive,62
support,62
distribution,62
lead,61
write,61
conclusive,61
average,61
benefits,61
contribution,61
registered,61
intellectual,61
holders,61
sub,60
balance,60
implementation,60
contingent,60
filing,60
different,60
correct,60
pari,60
passu,60
national,59
members,59
appointment,59
special,59
irrevocably,59
satisfaction,59
organized,58
accepted,58
longer,58
addition,58
guarantees,58
identified,58
multiemployer,58
repay,58
renewal,58
constituting,58
uk,57
reduced,57
requests,57
rates,57
standards,57
single,57
results,57
execute,57
premiums,57
participating,57
r,56
maintained,56
irs,56
affect,56
acceptable,56
unreimbursed,56
constitutes,56
procedures,56
stated,56
circumstances,56
selected,55
margin,55
continuation,55
voting,55
institutions,55
however,55
amortization,55
enforceability,55
division,55
reduce,55
matter,55
prepayments,55
intended,55
prepay,55
confidential,55
none,55
fiduciary,55
maximum,55
acknowledges,55
guaranteed,55
european,54
rule,54
hazardous,54
next,54
venture,54
violation,54
manifest,54
publication,54
license,54
z,54
prime,54
dispositions,54
assigns,53
policies,53
kingdom,53
proceedings,53
system,53
force,53
bankruptcy,53
consents,53
extensions,53
validity,53
latest,53
signed,53
setting,53
duly,53
hereafter,53
enter,53
floor,52
legislation,52
activities,52
reflect,52
duplication,52
litigation,52
official,52
established,52
life,52
authorization,52
finance,52
arranger,52
equivalents,52
successors,51
delaware,51
merger,51
liable,51
relief,51
acquire,51
effectiveness,51
present,51
promissory,51
transition,51
revolver,51
representative,50
minimum,50
trustee,50
responsibility,50
companies,50
fatca,50
kind,50
evidence,50
spread,50
website,50
america,49
regardless,49
consummation,49
branch,49
viii,49
off,49
completed,49
consummated,49
engaged,49
body,49
assumed,49
months,49
give,49
recent,49
resignation,49
furnished,49
consisting,48
fact,48
filed,48
materially,48
reporting,48
prepaid,48
scheduled,48
calculating,48
reserves,48
million,48
shares,47
unsecured,47
previously,47
certified,47
bonds,47
perform,47
remaining,47
particular,47
unreasonably,47
repaid,47
owed,47
determine,47
offer,47
process,47
affiliated,47
ucc,47
usa,46
jpmorgan,46
september,46
supplemented,46
conduct,46
precedent,46
consolidation,46
