condition,metric,mean,std,n_folds
Base E5,Recall@1,0.2649061532831577,0.028767994998514436,5
Base E5,Recall@5,0.5275776619659848,0.03728481972194392,5
Base E5,Recall@10,0.6365073010421606,0.039660199404897435,5
Base E5,MRR,0.3869072588829001,0.030840992419297882,5
Base E5,Mean Rank,45.958949463101064,10.470619057943072,5
Base E5,Median Rank,5.0,0.7071067811865476,5
Base E5,Mean Margin,0.01842114671049363,0.002998657885660393,5
Base E5,Mean Retrieval Entropy tau=0.05,10.491225086138893,0.004710270342435294,5
Base E5,Mean Top-5 Mass tau=0.05,0.012884328055464783,0.00037095931481440444,5
Base E5,Mean Top-10 Mass tau=0.05,0.02266326636516313,0.000607310752753503,5
Fine-Tuned E5,Recall@1,0.3311719725778873,0.014668775851600433,5
Fine-Tuned E5,Recall@5,0.6803482919016262,0.03225204962535783,5
Fine-Tuned E5,Recall@10,0.7967098540774319,0.02738236347645684,5
Fine-Tuned E5,MRR,0.4833896228971059,0.01627805635644834,5
Fine-Tuned E5,Mean Rank,14.774771224791426,3.152008571084565,5
Fine-Tuned E5,Median Rank,3.0,0.0,5
Fine-Tuned E5,Mean Margin,0.18653293406554275,0.02487236802506503,5
Fine-Tuned E5,Mean Retrieval Entropy tau=0.05,4.754748856808837,0.31311711041445545,5
Fine-Tuned E5,Mean Top-5 Mass tau=0.05,0.5887358307757141,0.038986575058678814,5
Fine-Tuned E5,Mean Top-10 Mass tau=0.05,0.6867342376864446,0.03590863514849496,5
