fold,query_id,base_rank,fine_tuned_rank,delta_rank,sorted_query_index
2,893,1475,47,1428,1
2,21,1475,47,1428,2
2,20,1464,66,1398,3
2,892,1464,66,1398,4
3,1969,1457,94,1363,5
3,69,1457,94,1363,6
2,909,1459,98,1361,7
2,37,1459,98,1361,8
1,28,1365,70,1295,9
1,1128,1365,70,1295,10
2,24,1297,14,1283,11
2,896,1297,14,1283,12
1,1129,1400,145,1255,13
1,29,1400,145,1255,14
2,16,1293,47,1246,15
2,888,1293,47,1246,16
1,1120,1274,40,1234,17
1,20,1274,40,1234,18
2,889,1242,21,1221,19
2,17,1242,21,1221,20
2,15,1286,80,1206,21
2,887,1286,80,1206,22
2,879,1225,21,1204,23
2,7,1225,21,1204,24
1,21,1220,26,1194,25
1,1121,1220,26,1194,26
1,31,1241,139,1102,27
1,1131,1241,139,1102,28
2,282,1353,252,1101,29
3,92,1395,294,1101,30
2,1154,1353,252,1101,31
3,1992,1395,294,1101,32
4,523,1121,44,1077,33
4,1327,1121,44,1077,34
2,19,1076,4,1072,35
2,891,1076,4,1072,36
5,295,1125,57,1068,37
5,1879,1125,57,1068,38
3,1975,1313,267,1046,39
3,75,1313,267,1046,40
2,231,1048,10,1038,41
2,1103,1048,10,1038,42
1,1117,1036,7,1029,43
1,17,1036,7,1029,44
1,2143,1069,50,1019,45
1,1043,1069,50,1019,46
5,24,1031,22,1009,47
5,1608,1031,22,1009,48
4,801,1206,231,975,49
4,1605,1206,231,975,50
5,1782,1026,108,918,51
5,198,1026,108,918,52
3,2151,952,35,917,53
3,251,952,35,917,54
5,117,1169,273,896,55
5,1701,1169,273,896,56
2,55,939,53,886,57
2,927,939,53,886,58
3,1309,948,82,866,59
3,3209,948,82,866,60
5,785,870,11,859,61
5,2369,870,11,859,62
5,1611,1044,213,831,63
5,27,1044,213,831,64
3,1473,861,47,814,65
3,3373,861,47,814,66
2,12,827,15,812,67
2,884,827,15,812,68
3,84,832,31,801,69
3,1984,832,31,801,70
1,1132,976,181,795,71
1,32,976,181,795,72
3,1445,795,7,788,73
3,3345,795,7,788,74
3,1581,1032,246,786,75
3,3481,1032,246,786,76
4,521,808,23,785,77
4,1325,808,23,785,78
5,1627,830,57,773,79
5,43,830,57,773,80
3,85,915,149,766,81
3,1985,915,149,766,82
4,1427,771,8,763,83
4,623,771,8,763,84
1,27,818,58,760,85
1,1127,818,58,760,86
2,895,1557,799,758,87
2,23,1557,799,758,88
1,309,873,129,744,89
1,1409,873,129,744,90
1,760,1314,576,738,91
1,1860,1314,576,738,92
1,1102,742,17,725,93
1,2,742,17,725,94
3,3787,794,72,722,95
3,1887,794,72,722,96
4,450,880,164,716,97
4,1254,880,164,716,98
1,1847,735,25,710,99
1,747,735,25,710,100
5,2679,701,2,699,101
5,1095,701,2,699,102
2,5,768,75,693,103
2,877,768,75,693,104
1,12,693,3,690,105
1,1112,693,3,690,106
2,934,714,25,689,107
2,62,714,25,689,108
3,1988,1281,593,688,109
3,88,1281,593,688,110
2,982,776,89,687,111
2,110,776,89,687,112
4,460,964,279,685,113
4,1264,964,279,685,114
3,86,724,51,673,115
3,1986,724,51,673,116
3,1993,960,288,672,117
3,93,960,288,672,118
1,1130,856,192,664,119
1,30,856,192,664,120
3,1991,1273,614,659,121
3,91,1273,614,659,122
5,2343,665,15,650,123
3,103,727,77,650,124
5,759,665,15,650,125
3,2003,727,77,650,126
3,107,772,123,649,127
3,2007,772,123,649,128
3,2876,733,86,647,129
3,976,733,86,647,130
3,1971,801,156,645,131
3,71,801,156,645,132
4,1217,642,2,640,133
4,413,642,2,640,134
1,215,808,176,632,135
1,1315,808,176,632,136
3,152,1138,507,631,137
3,2052,1138,507,631,138
1,891,1148,536,612,139
1,1991,1148,536,612,140
3,2390,636,34,602,141
3,490,636,34,602,142
2,423,676,78,598,143
2,1295,676,78,598,144
1,1115,633,37,596,145
1,15,633,37,596,146
2,102,587,32,555,147
3,2000,607,52,555,148
2,974,587,32,555,149
3,100,607,52,555,150
1,1519,559,15,544,151
1,419,559,15,544,152
5,2349,619,82,537,153
5,765,619,82,537,154
2,39,544,14,530,155
2,911,544,14,530,156
1,440,803,274,529,157
1,1540,803,274,529,158
3,1627,543,18,525,159
3,3527,543,18,525,160
3,3645,538,17,521,161
3,1745,538,17,521,162
5,2877,600,80,520,163
5,1293,600,80,520,164
3,450,523,9,514,165
3,2350,523,9,514,166
1,230,627,114,513,167
3,1247,667,154,513,168
1,1330,627,114,513,169
3,3147,667,154,513,170
5,1628,622,116,506,171
5,44,622,116,506,172
3,2349,509,6,503,173
3,449,509,6,503,174
2,1293,516,21,495,175
2,421,516,21,495,176
2,1185,602,110,492,177
2,313,602,110,492,178
3,101,539,57,482,179
3,2001,539,57,482,180
3,2589,571,91,480,181
3,689,571,91,480,182
1,1631,471,5,466,183
1,531,471,5,466,184
2,897,462,2,460,185
2,25,462,2,460,186
3,3411,460,4,456,187
3,1511,460,4,456,188
5,2493,568,113,455,189
5,909,568,113,455,190
3,2481,516,66,450,191
3,581,516,66,450,192
5,573,486,37,449,193
5,2157,486,37,449,194
5,21,680,233,447,195
1,1158,586,139,447,196
5,1605,680,233,447,197
1,58,586,139,447,198
4,796,493,48,445,199
4,1600,493,48,445,200
2,545,446,2,444,201
2,1417,446,2,444,202
1,33,459,17,442,203
1,1202,445,3,442,204
1,102,445,3,442,205
1,1133,459,17,442,206
5,209,668,227,441,207
5,1793,668,227,441,208
3,2354,461,27,434,209
3,454,461,27,434,210
5,2351,442,9,433,211
5,767,442,9,433,212
3,1716,438,8,430,213
3,3616,438,8,430,214
2,49,433,4,429,215
2,921,433,4,429,216
2,1062,439,13,426,217
2,190,439,13,426,218
3,1311,433,9,424,219
3,3211,433,9,424,220
4,74,429,9,420,221
4,878,429,9,420,222
3,1977,478,62,416,223
3,77,478,62,416,224
5,428,522,111,411,225
5,2012,522,111,411,226
1,178,416,6,410,227
1,1278,416,6,410,228
1,1874,463,54,409,229
1,774,463,54,409,230
2,923,423,15,408,231
2,51,423,15,408,232
3,105,524,117,407,233
3,2005,524,117,407,234
1,166,486,79,407,235
1,1266,486,79,407,236
1,191,407,3,404,237
1,1291,407,3,404,238
1,1695,415,17,398,239
1,595,415,17,398,240
2,401,414,17,397,241
2,1273,414,17,397,242
5,1612,406,10,396,243
5,28,406,10,396,244
3,2607,443,49,394,245
3,707,443,49,394,246
3,1974,434,50,384,247
3,667,939,555,384,248
3,74,434,50,384,249
3,2567,939,555,384,250
4,1607,1059,676,383,251
4,803,1059,676,383,252
5,1650,383,5,378,253
5,66,383,5,378,254
4,185,393,16,377,255
4,989,393,16,377,256
4,482,414,38,376,257
4,1286,414,38,376,258
2,1106,547,173,374,259
2,234,547,173,374,260
2,1284,465,92,373,261
2,412,465,92,373,262
4,123,459,92,367,263
3,70,389,22,367,264
3,1970,389,22,367,265
4,927,459,92,367,266
3,1699,444,79,365,267
3,3599,444,79,365,268
2,1501,467,107,360,269
3,875,368,8,360,270
2,629,467,107,360,271
3,2775,368,8,360,272
2,395,543,187,356,273
2,1267,543,187,356,274
2,907,357,4,353,275
2,35,357,4,353,276
2,647,377,24,353,277
2,1519,377,24,353,278
3,1153,383,34,349,279
3,3053,383,34,349,280
2,885,349,2,347,281
2,13,349,2,347,282
5,1145,362,16,346,283
5,2729,362,16,346,284
2,1119,438,107,331,285
2,247,438,107,331,286
5,1631,417,87,330,287
5,3056,335,5,330,288
5,47,417,87,330,289
5,1472,335,5,330,290
5,3067,734,412,322,291
5,1483,734,412,322,292
4,1267,351,30,321,293
4,463,351,30,321,294
5,2731,337,17,320,295
5,1147,337,17,320,296
2,899,326,7,319,297
2,27,326,7,319,298
5,2021,316,1,315,299
5,437,316,1,315,300
1,2151,324,9,315,301
1,1051,324,9,315,302
3,3413,327,15,312,303
5,1712,379,67,312,304
5,128,379,67,312,305
3,1513,327,15,312,306
3,133,322,12,310,307
3,2033,322,12,310,308
3,1119,364,56,308,309
3,3215,557,249,308,310
3,1315,557,249,308,311
5,1592,321,13,308,312
3,3019,364,56,308,313
5,8,321,13,308,314
5,2922,338,30,308,315
5,1338,338,30,308,316
1,1109,308,1,307,317
1,9,308,1,307,318
3,3468,308,3,305,319
3,3229,317,12,305,320
3,1329,317,12,305,321
3,1568,308,3,305,322
1,911,331,28,303,323
1,2011,331,28,303,324
1,3,306,4,302,325
1,1103,306,4,302,326
1,897,310,9,301,327
1,1997,310,9,301,328
2,419,477,181,296,329
3,1718,532,236,296,330
3,2318,412,116,296,331
3,418,412,116,296,332
3,3618,532,236,296,333
2,1291,477,181,296,334
1,1195,777,485,292,335
1,95,777,485,292,336
3,2541,292,3,289,337
3,978,310,21,289,338
3,641,292,3,289,339
3,2878,310,21,289,340
5,2711,288,1,287,341
5,2917,335,48,287,342
1,1135,288,1,287,343
1,35,288,1,287,344
5,1127,288,1,287,345
5,1333,335,48,287,346
1,1367,294,8,286,347
1,267,294,8,286,348
3,209,324,42,282,349
3,2109,324,42,282,350
2,179,283,2,281,351
2,1051,283,2,281,352
3,705,340,60,280,353
3,2605,340,60,280,354
5,13,280,2,278,355
3,3493,290,12,278,356
5,1597,280,2,278,357
3,1593,290,12,278,358
1,1179,563,286,277,359
1,79,563,286,277,360
2,418,329,53,276,361
2,1290,329,53,276,362
5,431,311,38,273,363
5,2015,311,38,273,364
3,1783,376,103,273,365
3,3683,376,103,273,366
3,3617,366,94,272,367
1,1178,292,20,272,368
1,78,292,20,272,369
3,3799,278,6,272,370
3,1717,366,94,272,371
3,1899,278,6,272,372
3,63,286,16,270,373
3,1963,286,16,270,374
1,1396,407,138,269,375
5,2923,279,10,269,376
1,296,407,138,269,377
5,1339,279,10,269,378
5,3003,295,28,267,379
5,1419,295,28,267,380
1,1246,273,6,267,381
4,1188,300,33,267,382
1,146,273,6,267,383
4,384,300,33,267,384
2,1741,270,5,265,385
2,869,270,5,265,386
5,69,299,35,264,387
4,1287,298,34,264,388
5,1653,299,35,264,389
4,483,298,34,264,390
5,100,377,114,263,391
5,1613,338,75,263,392
5,29,338,75,263,393
5,1684,377,114,263,394
1,563,310,48,262,395
1,1663,310,48,262,396
5,2403,425,163,262,397
5,819,425,163,262,398
2,748,276,16,260,399
2,1620,276,16,260,400
4,742,264,5,259,401
4,1546,264,5,259,402
1,1059,266,7,259,403
1,2159,266,7,259,404
1,2155,302,44,258,405
1,1055,302,44,258,406
5,1305,270,13,257,407
4,407,263,6,257,408
5,2889,270,13,257,409
4,1211,263,6,257,410
1,1104,256,1,255,411
1,4,256,1,255,412
3,1399,256,2,254,413
3,3299,256,2,254,414
2,1672,304,51,253,415
2,800,304,51,253,416
3,49,266,15,251,417
3,1949,266,15,251,418
1,1364,259,10,249,419
3,743,295,46,249,420
1,264,259,10,249,421
3,2643,295,46,249,422
3,2576,251,3,248,423
1,1041,255,7,248,424
1,2141,255,7,248,425
3,676,251,3,248,426
5,2739,382,135,247,427
5,1155,382,135,247,428
3,1501,283,36,247,429
3,3401,283,36,247,430
