fold,condition,target_recall,k_required,estimated_context_tokens,mean_chunk_tokens
1,Base E5,0.7,16,4479.423514538559,279.96396965865995
1,Base E5,0.75,24,6719.135271807839,279.96396965865995
1,Base E5,0.8,35,9798.738938053099,279.96396965865995
1,Base E5,0.85,57,15957.946270543616,279.96396965865995
1,Base E5,0.9,109,30516.072692793936,279.96396965865995
1,Fine-Tuned E5,0.7,6,1679.7838179519597,279.96396965865995
1,Fine-Tuned E5,0.75,8,2239.7117572692796,279.96396965865995
1,Fine-Tuned E5,0.8,11,3079.6036662452593,279.96396965865995
1,Fine-Tuned E5,0.85,17,4759.387484197219,279.96396965865995
1,Fine-Tuned E5,0.9,25,6999.099241466499,279.96396965865995
2,Base E5,0.7,17,4759.387484197219,279.96396965865995
2,Base E5,0.75,26,7279.063211125159,279.96396965865995
2,Base E5,0.8,42,11758.486725663717,279.96396965865995
2,Base E5,0.85,68,19037.549936788877,279.96396965865995
2,Base E5,0.9,121,33875.64032869785,279.96396965865995
2,Fine-Tuned E5,0.7,7,1959.7477876106195,279.96396965865995
2,Fine-Tuned E5,0.75,9,2519.6757269279396,279.96396965865995
2,Fine-Tuned E5,0.8,13,3639.5316055625794,279.96396965865995
2,Fine-Tuned E5,0.85,21,5879.243362831859,279.96396965865995
2,Fine-Tuned E5,0.9,41,11478.522756005057,279.96396965865995
3,Base E5,0.7,18,5039.351453855879,279.96396965865995
3,Base E5,0.75,25,6999.099241466499,279.96396965865995
3,Base E5,0.8,39,10918.594816687739,279.96396965865995
3,Base E5,0.85,67,18757.585967130217,279.96396965865995
3,Base E5,0.9,108,30236.108723135276,279.96396965865995
3,Fine-Tuned E5,0.7,7,1959.7477876106195,279.96396965865995
3,Fine-Tuned E5,0.75,9,2519.6757269279396,279.96396965865995
3,Fine-Tuned E5,0.8,12,3359.5676359039194,279.96396965865995
3,Fine-Tuned E5,0.85,19,5319.315423514539,279.96396965865995
3,Fine-Tuned E5,0.9,32,8958.847029077118,279.96396965865995
4,Base E5,0.7,10,2799.6396965865997,279.96396965865995
4,Base E5,0.75,16,4479.423514538559,279.96396965865995
4,Base E5,0.8,23,6439.171302149179,279.96396965865995
4,Base E5,0.85,34,9518.774968394438,279.96396965865995
4,Base E5,0.9,60,16797.838179519596,279.96396965865995
4,Fine-Tuned E5,0.7,5,1399.8198482932999,279.96396965865995
4,Fine-Tuned E5,0.75,6,1679.7838179519597,279.96396965865995
4,Fine-Tuned E5,0.8,8,2239.7117572692796,279.96396965865995
4,Fine-Tuned E5,0.85,11,3079.6036662452593,279.96396965865995
4,Fine-Tuned E5,0.9,19,5319.315423514539,279.96396965865995
5,Base E5,0.7,18,5039.351453855879,279.96396965865995
5,Base E5,0.75,24,6719.135271807839,279.96396965865995
5,Base E5,0.8,38,10638.630847029079,279.96396965865995
5,Base E5,0.85,66,18477.621997471557,279.96396965865995
5,Base E5,0.9,113,31635.928571428572,279.96396965865995
5,Fine-Tuned E5,0.7,6,1679.7838179519597,279.96396965865995
5,Fine-Tuned E5,0.75,8,2239.7117572692796,279.96396965865995
5,Fine-Tuned E5,0.8,11,3079.6036662452593,279.96396965865995
5,Fine-Tuned E5,0.85,16,4479.423514538559,279.96396965865995
5,Fine-Tuned E5,0.9,26,7279.063211125159,279.96396965865995
